     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       600,         3,         0,   0.150,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
      1000,         6,         0,   0.181,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
       600,         4,         0,   0.154,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
       587,         4,         0,   0.159,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
       100,         0,         0,   0.145,pymatching,9e39cc98017559fcd4a7187b64acf45143ab607f4535f703fe9e56c5dbc099dc,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":3,""logical_observable"":""memory_x"",""n_rounds"":68,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
       100,         0,         0,   0.134,pymatching,38bb1c1cb18aa748c42793e3ea85aead5d234905fd5ead68c64c68a8f0302548,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":3,""logical_observable"":""memory_z"",""n_rounds"":68,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
      2400,        15,         0,   0.421,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
      2250,        12,         0,   0.390,pymatching,9a2b8ac50d5b987655eba000c656688e94a13d282d02fb6113803180c1aaa3c4,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""stability_z"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
       200,         1,         0,   0.116,pymatching,9e39cc98017559fcd4a7187b64acf45143ab607f4535f703fe9e56c5dbc099dc,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":3,""logical_observable"":""memory_x"",""n_rounds"":68,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
     28800,        12,         0,    3.68,pymatching,7175cccc44cd5b631554a08f11100828991c7135ea25bc43d99ab46875c285e6,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":2,""logical_observable"":""memory_x"",""n_rounds"":60,""noise_model"":""standard_depolarizing_noise"",""per"":0.00075}",
