     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       339,        35,         0,   0.003,pymatching,afe95c93e9222ed240fec0473479454744a8d64b963105ccba0923d8bc35e818,"{""bias"":8,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001654,""p"":0.014889,""q"":0.013235}",
       339,        40,         0,   0.003,pymatching,ea6f5c4ddc0b33c6d9691704878e40621898308ea5c8151b77350abc3b9715c8,"{""bias"":8,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001778,""p"":0.016,""q"":0.014222}",
       100,        11,         0,   0.005,pymatching,34caff7f68c6a2085bd123fcaf0a411e67ce5e96a7cee5c7cc2242e760ef24b3,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000485,""p"":0.016,""q"":0.015515}",
       100,        18,         0,   0.002,pymatching,7092d524935eb51e827748cc391cfdb94d50e3b49ab064cb99b3324e3d84f5db,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.00062,""p"":0.020444,""q"":0.019825}",
       100,        16,         0,   0.004,pymatching,5e73d9dd462c8f9d97e54b61a1bed0fe9a927b53f2f5ca640012ab3f721ef8a6,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000519,""p"":0.017111,""q"":0.016593}",
       100,        17,         0,   0.002,pymatching,e7b713cefb35c318af729b9ad1674eaa89ceaa2400d9fad1a5276a4657ec2c6c,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000552,""p"":0.018222,""q"":0.01767}",
       100,        11,         0,   0.002,pymatching,359b279ffca03356ed92a1f119f85aa115b916040adc4990d435a705f36e5046,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000586,""p"":0.019333,""q"":0.018747}",
       100,        25,         0,   0.002,pymatching,630a676d0fbc6d00ec624b93f0bb53ce72b72f46ef94a68cf06c2dd0b70f4d32,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000653,""p"":0.021556,""q"":0.020902}",
       100,        18,         0,   0.003,pymatching,6ac7ecabdfef060983bca1737f3b0f31dfc341362e0e53019d5acd983f7a6767,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000687,""p"":0.022667,""q"":0.02198}",
       100,        22,         0,   0.002,pymatching,782659bd28f589131ef6b1d1158041a70a3a8c03b684fe1d766f1cdc92c71778,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000721,""p"":0.023778,""q"":0.023057}",
       100,        20,         0,   0.002,pymatching,2031917155a14c214094abf45c8dfec998df0bba17aae3fd907c80c71930ff9b,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000754,""p"":0.024889,""q"":0.024135}",
       200,        17,         0,   0.004,pymatching,34caff7f68c6a2085bd123fcaf0a411e67ce5e96a7cee5c7cc2242e760ef24b3,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000485,""p"":0.016,""q"":0.015515}",
       200,        24,         0,   0.002,pymatching,34caff7f68c6a2085bd123fcaf0a411e67ce5e96a7cee5c7cc2242e760ef24b3,"{""bias"":32,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.000485,""p"":0.016,""q"":0.015515}",
