     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1000,        18,         0,   0.330,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
       600,         5,         0,   0.242,pymatching,cfb0ddf2620d0768abdf3c72cb13e516889f7cd8f12d5e0279a75cac3af157c5,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_z"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
       800,        22,         0,   0.299,pymatching,cfb0ddf2620d0768abdf3c72cb13e516889f7cd8f12d5e0279a75cac3af157c5,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_z"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
        10,         0,         0,   0.132,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
      1200,        21,         0,   0.418,pymatching,cfb0ddf2620d0768abdf3c72cb13e516889f7cd8f12d5e0279a75cac3af157c5,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_z"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
       216,         4,         0,   0.153,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
       226,         3,         0,   0.164,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
      1000,        48,         0,   0.319,pymatching,62cd6576123ab6c1a21e60c3870d665566f9f837f55fd4585996998d37119e1a,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""stability_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
       123,         1,         0,   0.149,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
      1200,        20,         0,   0.398,pymatching,ce27219250e3e695794a80fe107802670f9e003c75c98a08ab4abffaeb6679b0,"{""code_name"":""GaugeHoneycombCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":1,""logical_observable"":""memory_x"",""n_rounds"":73,""noise_model"":""SI1000"",""per"":0.0005}",
