     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,         0,         0,   0.024,pymatching,087ca23b938db2cc1acc05b96288ca76f196329a0ee9ece575c7054262409ffd,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.008,pymatching,087ca23b938db2cc1acc05b96288ca76f196329a0ee9ece575c7054262409ffd,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.015,pymatching,de61a24fd47b1ae8dd303b33d795a184654df0963e4c24b7a2dc456f5506b429,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.016,pymatching,087ca23b938db2cc1acc05b96288ca76f196329a0ee9ece575c7054262409ffd,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.722,pymatching,bb5cf6340fc5725adf3bd0611e2951a5cbd7d579f4ad90729e7fa5d51005475a,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       500,         0,         0,   0.013,pymatching,dfae06015f66bf46894532d373495b862d6215a7e56f93038ddff791a5ec0c57,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.009,pymatching,4bd3d186500ad832b7d5d7e8382d00743cfeb82a497293aca76b80893a491a32,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.007,pymatching,4bd3d186500ad832b7d5d7e8382d00743cfeb82a497293aca76b80893a491a32,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.706,pymatching,72d04c098a5173c1297c50c20862e7086d1350d3268e2b5145a7ea8bbcd118db,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.015,pymatching,4bd3d186500ad832b7d5d7e8382d00743cfeb82a497293aca76b80893a491a32,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.012,pymatching,dfae06015f66bf46894532d373495b862d6215a7e56f93038ddff791a5ec0c57,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       400,         0,         0,   0.013,pymatching,de61a24fd47b1ae8dd303b33d795a184654df0963e4c24b7a2dc456f5506b429,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       400,         0,         0,   0.025,pymatching,087ca23b938db2cc1acc05b96288ca76f196329a0ee9ece575c7054262409ffd,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       600,         0,         0,   0.012,pymatching,7efd953d57025199a65ae930e614beac4b222535a870e5331953d747fe25b2be,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.011,pymatching,7efd953d57025199a65ae930e614beac4b222535a870e5331953d747fe25b2be,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       400,         0,         0,   0.018,pymatching,4bd3d186500ad832b7d5d7e8382d00743cfeb82a497293aca76b80893a491a32,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":2,""gf_1"":3,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         1,         0,   0.001,pymatching,5a1f54f0e03312d1e4a2c2e992ed8f5cc9cbeecdc04a25725ddaf2031bf719aa,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       600,         5,         0,   0.001,pymatching,5a1f54f0e03312d1e4a2c2e992ed8f5cc9cbeecdc04a25725ddaf2031bf719aa,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.018,pymatching,fc17b8dbc569c712cd887b8b23baede54fa6799d06ce6b44c4ff1af8a550f540,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.000,pymatching,5a1f54f0e03312d1e4a2c2e992ed8f5cc9cbeecdc04a25725ddaf2031bf719aa,"{""code_name"":""GaugeFloquetColourCode"",""distance"":4,""gf_0"":1,""gf_1"":1,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       200,         0,         0,   0.011,pymatching,fc17b8dbc569c712cd887b8b23baede54fa6799d06ce6b44c4ff1af8a550f540,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
       100,         0,         0,   0.007,pymatching,fc17b8dbc569c712cd887b8b23baede54fa6799d06ce6b44c4ff1af8a550f540,"{""code_name"":""GaugeFloquetColourCode"",""distance"":12,""gf_0"":3,""gf_1"":2,""gf_2"":0,""per"":0.001,""pm"":1.0,""px"":0.0,""py"":0.0,""pz"":0.0}",
